file,g_t
AND-NDC-EN,Yes
BEN-NDC-EN,Yes
CIV-NDC-EN,Yes
CMR-NDC-EN,Yes
COD-INDC-EN,Yes
COG-NDC-EN,Yes
COM-NDC-EN,Yes
CUB-NDC-EN,Yes
GAB-NDC-EN,Yes
GNQ-INDC-EN,Yes
HND-NDC-EN,Yes
HTI-NDC-EN,Yes
MLI-NDC-EN,Yes
MRT-NDC-EN,Yes
PAN-NDC-EN,Yes
PRY-NDC-EN,Yes
SEN-INDC-EN,Yes
SLV-NDC-EN,Yes
VEN-NDC-EN,Yes
